datetimeLocal,co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed,pm25_sub,pm10_sub,no2_sub,so2_sub,co_sub,o3_sub,AQI
2025-11-19 05:45:00+05:30,1.82,242.6,31.0,0.2137,10.0,385.0,336.0,94.0,62.4,14.8,245.0,0.3,486.0,343.6075949367089,38.75,77.88717948717948,90.2,10.0,486.0
2025-11-19 06:00:00+05:30,1.81,249.0,29.7,0.2182,16.3,358.0,300.0,94.0,62.9,14.8,252.0,0.3,450.0,309.7721518987342,37.125,78.51538461538462,89.65555555555557,16.3,450.0
2025-11-19 06:15:00+05:30,1.79,253.6,25.6,0.2198,19.0,358.0,300.0,94.0,62.6,14.8,249.0,0.3,450.0,309.7721518987342,32.0,78.13846153846154,88.56666666666666,19.0,450.0
2025-11-19 06:30:00+05:30,1.75,257.9,28.4,0.2247,22.9,358.0,300.0,94.0,62.9,14.8,232.0,0.3,450.0,309.7721518987342,35.5,78.51538461538462,86.38888888888889,22.9,450.0
2025-11-19 06:45:00+05:30,1.63,255.2,31.0,0.224,24.5,358.0,300.0,94.0,63.9,14.8,235.0,0.3,450.0,309.7721518987342,38.75,79.77179487179487,79.85555555555555,24.5,450.0
2025-11-19 07:00:00+05:30,1.56,245.9,35.5,0.2188,24.1,341.0,282.0,94.0,63.7,14.8,243.0,0.3,432.0,291.0,44.375,79.52051282051282,76.04444444444445,24.1,432.0
2025-11-19 07:15:00+05:30,1.44,229.0,33.3,0.2039,23.5,341.0,282.0,94.0,63.4,14.7,245.0,0.3,432.0,291.0,41.625,79.14358974358974,69.5111111111111,23.5,432.0
2025-11-19 07:30:00+05:30,1.32,189.5,38.2,0.1744,21.8,341.0,282.0,95.0,62.4,14.8,258.0,0.3,432.0,291.0,47.75,77.88717948717948,62.977777777777774,21.8,432.0
2025-11-19 07:45:00+05:30,1.31,157.2,31.0,0.1442,21.0,341.0,282.0,94.0,63.1,15.1,254.0,0.3,432.0,291.0,38.75,78.76666666666667,62.43333333333333,21.0,432.0
2025-11-19 08:00:00+05:30,1.28,157.7,25.6,0.1418,21.0,294.0,242.0,94.0,62.9,15.6,249.0,0.3,393.8604651162791,244.0,32.0,78.51538461538462,60.8,21.0,393.8604651162791
